Name,Author,Version,Description,Dependency Type,License,Maintainers (Active Last Yr?),Contributors (Active Last Yr?),Purl,Repository,Governance,Lifecycle,Unpatched Vulnerabilities,Industry Importance,Audits,Security.md,Tampering Risk,Vulnerability Risk,Sustainability Risk,Risk Analysis,Suggested Action
numpy,NumPy Developers <numpy-discussion@python.org>,1.26.4,Fundamental package for array computing in Python.,Core,BSD-3-Clause,"mattip (Y), seberg (Y), charris (Y), rgommers (Y), stefanv (Y) + >100 others",High activity,pkg:pypi/numpy@1.26.4,github.com/numpy/numpy,Strong community,Actively maintained,No,High,"Yes (Multiple, via Tidelift/OSTIF)",Link,Green,Green,Green,"Well-maintained, strong community, documented security process, audits performed. Low risk across all categories.",None
typing-extensions,Python Typing Team <typing-sig@python.org>,4.12.2,Backported and experimental type hints for Python.,Core,Python-2.0,"gvanrossum (Y), ilevkivskyi (Y), JelleZijlstra (Y)",Moderate activity,pkg:pypi/typing-extensions@4.12.2,github.com/python/typing_extensions,Strong community,Actively maintained,No,High,None known,Link,Green,Green,Green,"Core Python utility, actively maintained by Python core devs/typing team. Clear security policy via parent project. Low risk.",None
sympy,SymPy Development Team,1.13.0,A Python library for symbolic mathematics.,Core,BSD-3-Clause,"asmeurer (Y), oscarbenjamin (Y), sylee957 (Y), smichr (Y), czgdp1807 (Y) + >50 others",High activity,pkg:pypi/sympy@1.13.0,github.com/sympy/sympy,Strong community,Actively maintained,No,Medium,None known,Link,Green,Green,Green,"Large, active community, established project with security policy. Low risk.",None
networkx,NetworkX Developers <networkx-discuss@googlegroups.com>,3.4.2,Python package for creating and manipulating graphs and networks.,Core,BSD-3-Clause,"dschult (Y), jarrodmillman (Y), rossbar (Y), MridulS (Y), hagberg (N) + >20 others",High activity,pkg:pypi/networkx@3.4.2,github.com/networkx/networkx,Strong community,Actively maintained,No,Medium,None known,Link,Green,Green,Green,Actively maintained community project with good practices and security reporting process. Low risk.,None
jinja2,Pallets <contact@palletsprojects.com>,3.1.6,A modern and designer-friendly templating engine for Python.,Core,BSD-3-Clause,"davidism (Y), ThiefMaster (Y)",Moderate activity,pkg:pypi/jinja2@3.1.6,github.com/pallets/jinja,Reputable foundation,Actively maintained,No,High,Yes (Part of Pallets Project audits),Link,Green,Green,Yellow,"Mature project under Pallets umbrella, good security posture. Sustainability rated Yellow due to small core maintainer team (bus factor).",None
pyyaml,Kirill Simonov <xi@resolvent.net>,6.0.2,YAML parser and emitter for Python.,Core,MIT,"yaml org (Y) - primarily fly-out, ingydotnet (Low recent activity)",Low activity,pkg:pypi/pyyaml@6.0.2,github.com/yaml/pyyaml,Loose community,Somewhat maintained,No,High,None known,None,Yellow,Yellow,Yellow,Widely used but historically slow maintenance/patching. Relies heavily on underlying LibYAML. Lack of SECURITY.md. Moderate risk across categories due to maintenance concerns.,Fix/Fork
filelock,Benedikt Schmitt <benedikt@benediktschmitt.de>,3.18.0,A platform independent file lock.,Core,Unlicense,tox-dev org (Y) - primarily gaborbernat (Y),Low activity,pkg:pypi/filelock@3.18.0,github.com/tox-dev/py-filelock,Loose community,Stable,No,Medium,None known,None,Yellow,Green,Yellow,"Simple utility, seems stable. Maintained under tox-dev org but low activity. Unlicense adds minor ambiguity. Lack of SECURITY.md. Low-to-moderate risk.",None
fsspec,Martin Durant <mdurant@anaconda.com>,2025.3.0,Specification for Pythonic file system interfaces.,Core,BSD-3-Clause,"martindurant (Y), fsspec org members (Moderate activity)",Moderate activity,pkg:pypi/fsspec@2025.3.0,github.com/fsspec/filesystem_spec,Loose community,Actively maintained,No,Medium,None known,None,Yellow,Green,Yellow,"Actively developed, but governance seems centered around primary author/org. Lack of SECURITY.md. Low-to-moderate risk.",None
nvidia-cudnn-cu12,NVIDIA Corporation,9.1.0.70,cuDNN native runtime libraries. (Bundled dependency via torch index),Core,NVIDIA License,NVIDIA Corporation (Y),N/A,pkg:pypi/nvidia-cudnn-cu12@9.1.0.70,(Proprietary - No public repo),Company,Actively maintained,Unknown,High,Internal NVIDIA testing,(Via NVIDIA Security Center),Yellow,Yellow,Green,"Critical binary dependency. Closed source, maintained by NVIDIA. Risk stems from lack of transparency and reliance on vendor patching schedules. Sustainability is Green (large company).",None (Monitor)
requests,Python Software Foundation <security@python.org> (via psf),2.32.3,Python HTTP for Humans.,Devel,Apache-2.0,"nateprewitt (Y), sigmavirus24 (Y), sethmlarson (Y) + others",High activity,pkg:pypi/requests@2.32.3,github.com/psf/requests,Reputable foundation,Actively maintained,No,High,"Yes (Multiple, via Tidelift/PSF)",Link,Green,Green,Green,"Widely used, well-maintained under PSF, strong security practices. Low risk. (Assessed even if 'Devel' due to potential CI/CD impact).",None
some-old-util,Sole Maintainer <sole@example.com>,0.1.0,Example: An illustrative utility package.,Devel,MIT,sole-maintainer-gh (N - inactive > 1 yr),No recent activity,pkg:pypi/some-old-util@0.1.0,github.com/sole/some-old-util,Sole maintainer,Abandoned,Yes (Hypothetical CVE),Low,None known,None,Red,Red,Red,"Example of a high-risk dependency: abandoned, sole inactive maintainer, unpatched vulnerability, no security process. High risk across all categories, even as a Devel dep.",Forgo
